bar,start,2017,id,band,lanenr,number
slovak,1985,1988,guitar,Red Hot chili Peppers,4,2
irons,1983,1983,drums,Red Hot chili Peppers,5,1
irons,1986,1988,drums,Red Hot chili Peppers,5,2
martinez,1983,1986,drums,Red Hot chili Peppers,6,1
sherman,1983,1984,guitar,Red Hot chili Peppers,7,1
mcknight,1988,1988,guitar,Red Hot chili Peppers,8,1
peligro,1988,1988,drums,Red Hot chili Peppers,9,1
marshall,1992,1993,guitar,Red Hot chili Peppers,10,1
tobias,1993,1993,guitar,Red Hot chili Peppers,11,1
navarro,1993,1998,guitar,Red Hot chili Peppers,12,1
frusciante,1988,1992,guitar,Red Hot chili Peppers,13,1
frusciante,1998,2009,guitar,Red Hot chili Peppers,13,2
Bill Berry,1980,1997,drums,REM,0,1
Bill Berry,1980,1997,voc,REM,0,1
Peter Buck,1980,2011,guitar,REM,1,1
Mike Mills,1980,2011,bass,REM,2,1
Mike Mills,1980,2011,voc,REM,2,2
Michael Stipe,1980,2011,lvoc,REM,3,1
Anthony,2005,2014,guitar,Santana,1,1
Areas,1988,1989,percussion,Santana,2,1
Areas,1974,1975,percussion,Santana,2,2
Areas,1972,1973,percussion,Santana,2,3
Areas,1969,1971,percussion,Santana,2,4
Areas,1976,1977,percussion,Santana,2,5
Baker,1980,1982,key,Santana,3,1
Billy,1994,1994,drums,Santana,4,1
Billy,2000,2001,drums,Santana,4,2
Billy,1991,1991,drums,Santana,4,3
Birch,1976,1976,drums,Santana,5,1
Birch,1991,1991,drums,Santana,5,2
Blackman-Santana,2015,2017,drums,Santana,6,1
Boadie,1976,1976,lvoc,Santana,7,1
Bradford,1994,1996,drums,Santana,8,1
Brown,1974,1976,bass,Santana,9,1
Brown,1967,1971,bass,Santana,9,2
Carabello,1966,1967,percussion,Santana,11,1
Carabello,1969,1971,percussion,Santana,11,
Carabello,2013,2017,percussion,Santana,11,3
Chambers,2002,2013,drums,Santana,10,1
Chancler,1974,1976,drums,Santana,12,1
Chancler,1988,1988,drums,Santana,12,2
Chester,1984,1984,drums,Santana,13,1
Coke,1978,1979,percussion,Santana,14,1
Coke,1971,1971,percussion,Santana,14,2
Cooper,1992,1993,lvoc,Santana,15,1
Coster,1983,1984,key,Santana,16,1
Coster,1987,1987,key,Santana,16,2
Coster,1972,1978,key,Santana,16,3
Crew,1986,1986,key,Santana,17,1
Dove,1993,1996,bass,Santana,18,1
Dove,1993,1996,guitar,Santana,18,2
Dove,2003,2005,guitar,Santana,18,3
Fraser,1966,1967,guitar,Santana,19,1
Harper,1966,1967,drums,Santana,20,1
Hernandez,1997,1997,drums,Santana,21,1
Holmes,1993,1994,drums,Santana,22,1
Holmes,1997,2000,drums,Santana,22,2
Jimenez,2013,2014,drums,Santana,23,1
Johnson,1984,1989,bass,Santana,24,1
Johnson,1992,1992,bass,Santana,24,2
